Channel A: 
Mode: 2
N1/T1: 40.65 µs
Channel B: 
Mode: 1
N2/T2: 40.65 µs
tau (µs)	g2 Values
-703.749768	0.0
-703.2377680000001	0.0
-702.7257680000001	0.0
-702.2137680000002	0.0
-701.7017680000002	0.0
-701.1897680000003	0.0
-700.6777680000004	0.0
-700.1657680000004	0.0
-699.6537680000005	0.0
-699.1417680000005	0.0
-698.6297680000006	0.0
-698.1177680000006	0.0
-697.6057680000007	0.0
-697.0937680000008	0.0
-696.5817680000008	0.0
-696.0697680000009	0.0
-695.5577680000009	0.0
-695.045768000001	0.0
-694.533768000001	0.0
-694.0217680000011	0.0
-693.5097680000011	0.0
-692.9977680000012	0.0
-692.4857680000013	0.0
-691.9737680000013	0.0
-691.4617680000014	0.0
-690.9497680000014	0.0
-690.4377680000015	0.0
-689.9257680000015	0.0
-689.4137680000016	0.0
-688.9017680000017	0.0
-688.3897680000017	0.0
-687.8777680000018	0.0
-687.3657680000018	0.0
-686.8537680000019	0.0
-686.3417680000019	0.0
-685.829768000002	0.0
-685.317768000002	0.0
-684.8057680000021	0.0
-684.2937680000022	0.0
-683.7817680000022	0.0
-683.2697680000023	0.0
-682.7577680000023	0.0
-682.2457680000024	0.0
-681.7337680000024	0.0
-681.2217680000025	0.0
-680.7097680000026	0.0
-680.1977680000026	0.0
-679.6857680000027	0.0
-679.1737680000027	0.0
-678.6617680000028	0.0
-678.1497680000028	0.0
-677.6377680000029	0.0
-677.125768000003	0.0
-676.613768000003	0.0
-676.1017680000031	0.0
-675.5897680000031	0.0
-675.0777680000032	0.0
-674.5657680000032	0.0
-674.0537680000033	0.0
-673.5417680000033	0.0
-673.0297680000034	0.0
-672.5177680000035	0.0
-672.0057680000035	0.0
-671.4937680000036	0.0
-670.9817680000036	0.0
-670.4697680000037	0.0
-669.9577680000037	0.0
-669.4457680000038	0.0
-668.9337680000039	0.0
-668.4217680000039	0.0
-667.909768000004	0.0
-667.397768000004	0.0
-666.8857680000041	0.0
-666.3737680000041	0.0
-665.8617680000042	0.0
-665.3497680000042	0.0
-664.8377680000043	0.0
-664.3257680000044	0.0
-663.8137680000044	0.0
-663.3017680000045	0.0
-662.7897680000045	0.0
-662.2777680000046	0.0
-661.7657680000046	0.0
-661.2537680000047	0.0
-660.7417680000048	0.0
-660.2297680000048	0.0
-659.7177680000049	0.0
-659.2057680000049	0.0
-658.693768000005	0.0
-658.181768000005	0.0
-657.6697680000051	0.0
-657.1577680000051	0.0
-656.6457680000052	0.0
-656.1337680000053	0.0
-655.6217680000053	0.0
-655.1097680000054	0.0
-654.5977680000054	0.0
-654.0857680000055	0.0
-653.5737680000055	0.0
-653.0617680000056	0.0
-652.5497680000057	0.0
-652.0377680000057	0.0
-651.5257680000058	0.0
-651.0137680000058	0.0
-650.5017680000059	0.0
-649.9897680000059	0.0
-649.477768000006	0.0
-648.965768000006	0.0
-648.4537680000061	0.0
-647.9417680000062	0.0
-647.4297680000062	0.0
-646.9177680000063	0.0
-646.4057680000063	0.0
-645.8937680000064	0.0
-645.3817680000064	0.0
-644.8697680000065	0.0
-644.3577680000066	0.0
-643.8457680000066	0.0
-643.3337680000067	0.0
-642.8217680000067	0.0
-642.3097680000068	0.0
-641.7977680000068	0.0
-641.2857680000069	0.0
-640.773768000007	0.0
-640.261768000007	0.0
-639.7497680000071	0.0
-639.2377680000071	0.0
-638.7257680000072	0.0
-638.2137680000072	0.0
-637.7017680000073	0.0
-637.1897680000073	0.0
-636.6777680000074	0.0
-636.1657680000075	0.0
-635.6537680000075	0.0
-635.1417680000076	0.0
-634.6297680000076	0.0
-634.1177680000077	0.0
-633.6057680000077	0.0
-633.0937680000078	0.0
-632.5817680000079	0.0
-632.0697680000079	0.0
-631.557768000008	0.0
-631.045768000008	0.0
-630.5337680000081	0.0
-630.0217680000081	0.0
-629.5097680000082	0.0
-628.9977680000083	0.0
-628.4857680000083	0.0
-627.9737680000084	0.0
-627.4617680000084	0.0
-626.9497680000085	0.0
-626.4377680000085	0.0
-625.9257680000086	0.0
-625.4137680000086	0.0
-624.9017680000087	0.0
-624.3897680000088	0.0
-623.8777680000088	0.0
-623.3657680000089	0.0
-622.8537680000089	0.0
-622.341768000009	0.0
-621.829768000009	0.0
-621.3177680000091	0.0
-620.8057680000092	0.0
-620.2937680000092	0.0
-619.7817680000093	0.0
-619.2697680000093	0.0
-618.7577680000094	0.0
-618.2457680000094	0.0
-617.7337680000095	0.0
-617.2217680000095	0.0
-616.7097680000096	0.0
-616.1977680000097	0.0
-615.6857680000097	0.0
-615.1737680000098	0.0
-614.6617680000098	0.0
-614.1497680000099	0.0
-613.6377680000099	0.0
-613.12576800001	0.0
-612.61376800001	0.0
-612.1017680000101	0.0
-611.5897680000102	0.0
-611.0777680000102	0.0
-610.5657680000103	0.0
-610.0537680000103	0.0
-609.5417680000104	0.0
-609.0297680000104	0.0
-608.5177680000105	0.0
-608.0057680000106	0.0
-607.4937680000106	0.0
-606.9817680000107	0.0
-606.4697680000107	0.0
-605.9577680000108	0.0
-605.4457680000108	0.0
-604.9337680000109	0.0
-604.421768000011	0.0
-603.909768000011	0.0
-603.3977680000111	0.0
-602.8857680000111	0.0
-602.3737680000112	0.0
-601.8617680000112	0.0
-601.3497680000113	0.0
-600.8377680000114	0.0
-600.3257680000114	0.0
-599.8137680000115	0.0
-599.3017680000115	0.0
-598.7897680000116	0.0
-598.2777680000116	0.0
-597.7657680000117	0.0
-597.2537680000117	0.0
-596.7417680000118	0.0
-596.2297680000119	0.0
-595.7177680000119	0.0
-595.205768000012	0.0
-594.693768000012	0.0
-594.1817680000121	0.0
-593.6697680000121	0.0
-593.1577680000122	0.0
-592.6457680000123	0.0
-592.1337680000123	0.0
-591.6217680000124	0.0
-591.1097680000124	0.0
-590.5977680000125	0.0
-590.0857680000125	0.0
-589.5737680000126	0.0
-589.0617680000126	0.0
-588.5497680000127	0.0
-588.0377680000128	0.0
-587.5257680000128	0.0
