DifferenceValue 	 Stop
26178323	1
109803149	2
145469450	3
183177801	4
218469450	5
3964430	1
39422853	2
74881393	3
110297853	4
154256219	5
31563544	1
69938428	2
105396725	3
140729873	4
176188196	5
17745879	1
52995531	2
103078855	3
138787077	4
174203623	5
20615313	1
56073605	2
94448489	3
131365197	4
166865139	5
8838843	1
44172236	2
96255449	3
131922120	4
167213727	5
21813022	1
57313022	2
92771516	3
128271284	4
163562964	5
18037067	1
53495359	2
88995475	3
124245417	4
237620011	5
47239855	1
85823167	2
121281537	3
156781421	4
216906247	5
23505289	1
59005289	2
94505172	3
129922074	4
170005347	5
21437616	1
57145939	2
92437500	3
127895997	4
163354029	5
9890483	1
45265599	2
80765599	3
116057107	4
151598744	5
12281150	1
82364211	2
118030918	3
153363979	4
191739095	5
69588358	1
105254754	2
140546614	3
260629522	4
336587546	5
6185180	1
41643620	2
76935238	3
161018504	4
256684890	5
1136597	1
57261481	2
107011307	3
144719617	4
188386075	5
27485323	1
63151938	2
98610207	3
133901996	4
169360207	5
31604820	1
67063254	2
102354646	3
137604646	4
172896211	5
59870359	1
101578705	2
137245127	3
172786800	4
211120011	5
26427997	1
61761075	2
125886249	3
161386307	4
196885901	5
2818183	1
38109994	2
165526559	3
211234762	4
246901385	5
13456821	1
48748666	2
84081821	3
119581821	4
154873550	5
34139148	1
69805658	2
111805832	3
149472116	4
185138858	5
4529889	1
40029657	2
75362928	3
110821322	4
145987928	5
22857547	1
58315689	2
114399063	3
150065631	4
185440631	5
14623203	1
49914886	2
141998087	3
177623087	4
217747913	5
31138773	1
66888657	2
102346756	3
137805236	4
173096988	5
79466554	1
115174805	2
159341380	3
195007941	4
233382825	5
4148635	1
39648519	2
75107076	3
110356960	4
252440110	5
29599941	1
64891558	2
178974477	3
214641094	4
252266036	5
62030374	1
97655200	2
143780200	3
191488402	4
227029968	5
33337279	1
69045761	2
104379088	3
139712221	4
175045645	5
20978400	1
56644841	2
92103168	3
127394841	4
162852935	5
6847718	1
42347776	2
77847544	3
113181060	4
148639099	5
25238367	1
67279813	2
102779813	3
162904813	4
198404639	5
29629005	1
65128947	2
100628947	3
152712285	4
188253831	5
31352853	1
66852853	2
102185877	3
137685935	4
173435935	5
58430599	1
94138803	2
186221949	3
221680193	4
271805077	5
16465344	1
51715344	2
87215344	3
122590170	4
160298346	5
32064008	1
95730687	2
131272212	3
166605455	4
201855455	5
29433672	1
65100236	2
103475410	3
138808614	4
174141935	5
22157471	1
57615898	2
93115840	3
139240782	4
174990667	5
56006610	1
91673178	2
147048062	3
184672946	4
220256204	5
28792477	1
64084025	2
99584258	3
137250754	4
172583909	5
14224822	1
49683207	2
85016321	3
120432975	4
