Channel A: 
Mode: 2
N1/T1: 33.17 µs
Channel B: 
Mode: 1
N2/T2: 33.17 µs
tau (µs)	g2 Values
-496.021637	0.0
-495.509637	0.0
-494.997637	0.0
-494.485637	0.0
-493.973637	0.0
-493.461637	0.0
-492.949637	0.0
-492.437637	0.0
-491.925637	0.0
-491.413637	0.0
-490.901637	0.0
-490.389637	0.0
-489.877637	0.0
-489.365637	0.0
-488.853637	0.0
-488.341637	0.0
-487.829637	0.0
-487.317637	0.0
-486.805637	0.0
-486.293637	0.0
-485.781637	0.0
-485.269637	0.0
-484.757637	0.0
-484.245637	0.0
-483.733637	0.0
-483.221637	0.0
-482.709637	0.0
-482.197637	0.0
-481.685637	0.0
-481.173637	0.0
-480.661637	0.0
-480.149637	0.0
-479.637637	0.0
-479.125637	0.0
-478.613637	0.0
-478.101637	0.0
-477.589637	0.0
-477.077637	0.0
-476.565637	0.0
-476.053637	0.0
-475.541637	0.0
-475.029637	0.0
-474.517637	0.0
-474.005637	0.0
-473.493637	0.0
-472.981637	0.0
-472.469637	0.0
-471.957637	0.0
-471.445637	0.0
-470.933637	0.0
-470.421637	0.0
-469.909637	0.0
-469.397637	0.0
-468.885637	0.0
-468.373637	0.0
-467.861637	0.0
-467.349637	0.0
-466.837637	0.0
-466.325637	0.0
-465.81363699999997	0.0
-465.30163699999997	0.0
-464.78963699999997	0.0
-464.27763699999997	0.0
-463.76563699999997	0.0
-463.25363699999997	0.0
-462.74163699999997	0.0
-462.22963699999997	0.0
-461.71763699999997	0.0
-461.20563699999997	0.0
-460.69363699999997	0.0
-460.18163699999997	0.0
-459.66963699999997	0.0
-459.15763699999997	0.0
-458.64563699999997	0.0
-458.13363699999996	0.0
-457.62163699999996	0.0
-457.10963699999996	0.0
-456.59763699999996	0.0
-456.08563699999996	0.0
-455.57363699999996	0.0
-455.06163699999996	0.0
-454.54963699999996	0.0
-454.03763699999996	0.0
-453.52563699999996	0.0
-453.01363699999996	0.0
-452.50163699999996	0.0
-451.98963699999996	0.0
-451.47763699999996	0.0
-450.96563699999996	0.0
-450.45363699999996	0.0
-449.94163699999996	0.0
-449.42963699999996	0.0
-448.91763699999996	0.0
-448.40563699999996	0.0
-447.89363699999996	0.0
-447.38163699999996	0.0
-446.86963699999995	0.0
-446.35763699999995	0.0
-445.84563699999995	0.0
-445.33363699999995	0.0
-444.82163699999995	0.0
-444.30963699999995	0.0
-443.79763699999995	0.0
-443.28563699999995	0.0
-442.77363699999995	0.0
-442.26163699999995	0.0
-441.74963699999995	0.0
