Channel A: 
Mode: 2
N1/T1: 257.62 µs
Channel B: 
Mode: 1
N2/T2: 257.62 µs
tau (ms)	g2 Values
-3.993717706	0.0
-3.989717706	0.0
-3.985717706	0.0
-3.981717706	0.0
-3.977717706	0.0
-3.973717706	0.0
-3.969717706	0.0
-3.965717706	0.0
-3.961717706	0.0
-3.957717706	0.0
-3.953717706	0.0
-3.949717706	0.0
-3.945717706	0.0
-3.941717706	0.0
-3.937717706	0.0
-3.933717706	0.0
-3.929717706	0.0
-3.925717706	0.0
-3.921717706	0.0
-3.917717706	0.0
-3.913717706	0.0
-3.909717706	0.0
-3.905717706	0.0
-3.901717706	0.0
-3.897717706	0.0
-3.893717706	0.0
-3.889717706	0.0
-3.885717706	0.0
-3.881717706	0.0
-3.877717706	0.0
-3.873717706	0.0
-3.869717706	0.0
-3.865717706	0.0
-3.861717706	0.0
-3.857717706	0.0
-3.853717706	0.0
-3.849717706	0.0
-3.845717706	0.0
-3.841717706	0.0
-3.837717706	0.0
-3.833717706	0.0
-3.829717706	0.0
-3.825717706	0.0
-3.821717706	0.0
-3.817717706	0.0
-3.813717706	0.0
-3.809717706	0.0
-3.805717706	0.0
-3.801717706	0.0
-3.797717706	0.0
-3.793717706	0.0
-3.789717706	0.0
-3.785717706	0.0
-3.781717706	0.0
-3.777717706	0.0
-3.773717706	0.0
-3.769717706	0.0
-3.7657177059999998	0.0
-3.7617177059999998	0.0
-3.7577177059999998	0.0
-3.7537177059999998	0.0
-3.7497177059999998	0.0
-3.7457177059999998	0.0
-3.7417177059999998	0.0
-3.7377177059999998	0.0
-3.7337177059999997	0.0
-3.7297177059999997	0.0
-3.7257177059999997	0.0
-3.7217177059999997	0.0
-3.7177177059999997	0.0
-3.7137177059999997	0.0
-3.7097177059999997	0.0
-3.7057177059999997	0.0
-3.7017177059999997	0.0
-3.6977177059999997	0.0
-3.6937177059999997	0.0
-3.6897177059999997	0.0
-3.6857177059999997	0.0
-3.6817177059999997	0.0
-3.6777177059999997	0.0
-3.6737177059999997	0.0
-3.6697177059999997	0.0
-3.6657177059999997	0.0
