DifferenceValue 	 Stop
391758533	1
513755166	2
1115736707	3
1944737926	4
3272697485	5
389902435	1
601883990	2
1381855421	3
1558875464	4
2295863541	5
946454672	1
1595447710	2
2416457341	3
3154437268	4
3748392056	5
779791561	1
2248789299	2
2340812732	3
2368837673	4
3196807396	5
477923747	1
594903668	2
630927054	3
1210885214	4
2666852948	5
743029384	1
1790988807	2
3746038026	3
3811981093	4
3966999478	5
590312036	1
1535311630	2
2365349513	3
2596367864	4
3963367284	5
809656679	1
915678275	2
3138725561	3
3215708851	4
3701660218	5
125224668	1
221219681	2
754239511	3
774982727	4
3131248318	5
96320362	1
389313660	2
1340315110	3
1423298290	4
1607279845	5
1904519901	1
1925263170	2
2279501450	3
2480521409	4
2501264621	5
370654456	1
934687326	2
1973686920	3
2494628363	4
3034658167	5
143339136	1
374355792	2
1572315344	3
1662388521	4
2293328169	5
108340587	1
2605361363	2
3047342734	3
3557377611	4
3617320857	5
1438605983	1
1738587546	2
2106619202	3
2178642335	4
3856646858	5
931008642	1
2459047942	2
2669001160	3
3278024393	4
3352047652	5
1395377784	1
1531412791	2
3369373840	3
3477373782	4
809469192	1
1330487352	2
1406510676	3
1614490543	4
3315538306	5
808787968	1
1004849597	2
1490881038	3
2038781002	4
2463799173	5
319754226	1
1782723791	2
2888765069	3
3132744781	4
3271762982	5
1740614446	1
2152596063	2
2818549162	3
3075569111	4
3685604066	5
712166424	1
1198144534	2
2157164275	3
3086160676	4
3970117220	5
58259951	1
645252900	2
1954252378	3
2157273813	4
2956268535	5
519269094	1
662290742	2
1202270313	3
2690281340	4
2739262884	5
1747423373	1
2154363193	2
3095361047	3
3427412469	4
3565392458	5
1405902496	1
2062923868	2
2360895303	3
2553927001	4
2914945041	5
506305397	1
3011275697	2
3036259107	3
3247250580	4
3268315458	5
302332395	1
1299330249	2
3036299392	3
3209321026	4
3696312442	5
984224497	1
2301269021	2
2988208492	3
3008951939	4
3373241765	5
753202003	1
1177183439	2
1398176767	3
3244187674	4
3583205736	5
46477266	1
385418767	2
1674416564	3
1773479818	4
1844463018	5
1394941561	1
1541961462	2
1748901341	3
2708942606	4
3108969179	5
672006667	1
2025006203	2
2531064355	3
2741017623	4
3190039015	5
891149439	1
958132717	2
2425182278	3
2798123898	4
3673126915	5
112547476	1
133287383	2
166527637	3
637527405	4
1679493619	5
613333271	1
687356550	2
708099761	3
1519359625	4
3543378539	5
2452341076	1
3191334001	2
3550272081	3
3714305367	4
3896285361	5
523101245	1
1235054148	2
2061095271	3
3321056236	4
535734742	1
556478071	2
2053705562	3
2368723778	4
2629715308	5
2133748028	1
2180806351	2
2643747564	3
2871729175	4
2920792371	5
1579607768	1
2428605621	2
2533587287	3
2567610669	4
1470807859	1
2034840598	2
2102863977	3
2123605565	4
3904866298	5
1534624362	1
1623580972	2
2015562500	3
2192585671	4
2954625200	5
436716400	1
1415715761	2
1707697249	3
3212667885	4
3706647748	5
235439765	1
1040437674	2
1390390852	3
2152373723	4
3812382897	5
552739909	1
1120719494	2
1605789128	3
3789717696	4
3902779442	5
2246928160	1
2426906463	2
2493969659	3
3213922532	4
3911902054	5
349144443	1
1015205550	2
1711156863	3
1731898563	4
2709153032	5
307067082	1
2146036225	2
2590066038	3
3483067082	4
3688087125	5
58246520	1
389234597	2
1468233901	3
2965251508	4
3828247622	5
2227919340	1
2598937500	2
2910917251	3
2931660521	4
3550933555	5
145193012	1
894260967	2
1086242515	3
2921214656	4
3658209144	5
198115853	1
2522091179	2
2994072311	3
3101055907	4
3390067202	5
333577265	1
1017528453	2
1441511459	3
1572581441	4
1644524567	5
191736959	1
897763350	2
2381800792	3
2600742233	4
3309756781	5
477660457	1
1309699629	2
1674641249	3
2038684308	4
2215704213	5
435343537	1
2099370765	2
2751320332	3
3000343537	4
3434324857	5
421288665	1
470272061	2
1891344489	3
2336337580	4
991581583	1
1562574680	2
3081570446	3
3102313776	4
3570605047	5
1116726001	1
2336767221	2
2535758929	3
3136776846	4
3547770236	5
431895887	1
903875696	2
1169935759	3
3043883297	4
3768878191	5
1239844778	1
1982836019	2
2394817489	3
3359816909	4
3589850173	5
423947769	1
578967683	2
954949162	3
1746913538	4
3948925374	5
862170343	1
972193762	2
1282148425	3
1694129697	4
3090165241	5
169371693	1
1363379119	2
1629360593	3
2032381904	4
2832337852	5
207840587	1
1418838092	2
2163850859	3
2719823758	4
3005855211	5
223809830	1
1356828926	2
2213828114	3
2915862708	4
3502882197	5
255753372	1
1928718724	2
1949462109	3
2005738685	4
3924715475	5
60169206	1
214149366	2
338139271	3
3025107287	4
3857166654	5
1334934481	1
1380954394	2
2244935642	3
2286958806	4
2730938835	5
682070036	1
2162079310	2
3002068760	3
3608101814	4
3756080006	5
662328565	1
2245324215	2
2400344108	3
2520287233	4
3114321721	5
493982770	1
1314980391	2
1906053218	3
2538994605	4
2627977665	5
6489503	1
281511077	2
1764479644	3
3348516703	4
3964473032	5
834166744	1
1700121231	2
3413173295	3
3666123087	4
3963112883	5
596791437	1
1186769381	2
2098730387	3
3861784235	4
3882527388	5
403055019	1
739036363	2
2964088076	3
3522042665	4
110337643	1
655328768	2
1711304669	3
3336353247	4
3422296664	5
741952932	1
1495910504	2
2343951539	3
2827931177	4
2848674447	5
257531518	1
389511327	2
2741539350	3
3187492283	4
3658508426	5
1848427887	1
3204358370	2
3365379871	3
3386119910	4
3674436398	5
101622505	1
1042621693	2
3142631614	3
3163374826	4
3531582689	5
1013342148	1
1243375348	2
1945356247	3
2990351837	4
3506379816	5
773500406	1
1072520217	2
3470449539	3
3640511111	4
539061630	1
613083325	2
1095065284	3
1121088661	4
3152134339	5
422771458	1
622749884	2
643493060	3
714786537	4
1421737028	5
1015229337	1
1347264498	2
1401207802	3
2245245240	4
2383225390	5
1121314008	1
1190377204	2
2319375058	3
2601330129	4
3491320909	5
205371809	1
1157410918	2
1355391015	3
2814390783	4
3395386257	5
460097386	1
1348059831	2
2539062558	3
2741044342	4
3345079962	5
46018912	1
217999130	2
1721977897	3
2180971554	4
3017013517	5
89232484	1
1730229293	2
2305220271	3
3391177698	4
3696197418	5
805540771	1
1440608529	2
2315557744	3
3045590338	4
3218531898	5
794399825	1
2203368620	2
2576389906	3
2671373376	4
3817333903	5
492042245	1
1176015206	2
1736048107	3
2064029361	4
2672058844	5
252208497	1
485228423	2
1208222185	3
1541242344	4
1710235790	5
314112804	1
512104574	2
2046114079	3
2211136011	4
3504138387	5
125592618	1
1488591922	2
1509335306	3
1763625348	4
2052566852	5
399134748	1
3025139971	2
3305168119	3
3912107824	4
841676836	1
1917716387	2
1953659682	3
2009682806	4
3062687210	5
628750348	1
748695563	2
956755395	3
1510709137	4
2614745939	5
941277804	1
1653310585	2
2745268115	3
3023247853	4
3829290743	5
368498724	1
482518562	2
1683570679	3
2151550318	4
3159507773	5
505060412	1
1043039875	2
2164999014	3
3213056235	4
3860050665	5
708169920	1
1624127205	2
1847147163	3
2653122969	4
2796144611	5
649836679	1
707860078	2
1437813371	3
3370883129	4
3607821558	5
1035100723	1
3062065400	2
3190090457	3
3254035381	4
3968105189	5
751557738	1
2057514130	2
2431494077	3
2612512330	4
3034492219	5
309320041	1
1267290257	2
1941322129	3
1969345506	4
2297327118	5
