DifferenceValue 	 Stop
72000058	1
304989735	2
1136977034	3
3322974018	4
3662955189	5
1390888156	1
1583904441	2
1979885606	3
2224905252	4
2259888503	5
428663903	1
1305664309	2
2337701241	3
2538642509	4
3332683036	5
857205879	1
1328226867	2
1549221533	3
2294238752	4
3281234172	5
1063656443	1
1387716162	2
3343666757	3
3677697987	4
3919677592	5
77709370	1
618730294	2
848683269	3
2404722991	4
3168681936	5
87720414	1
1151757186	2
1768751449	3
2652710274	4
3388742641	5
490132188	1
1100193123	2
1120936225	3
1991151851	4
3905161010	5
601909794	1
775889671	2
2261899182	3
2529878827	4
3521915812	5
666842301	1
1194871289	2
1389892857	3
2700885842	4
3620856215	5
994361200	1
2084339636	2
3135338071	3
3622329083	4
3970390250	5
5200197	1
882199038	2
1047216895	3
2395193530	4
2813226287	5
1124853353	1
1303873262	2
1599826234	3
1802845820	4
3967813022	5
680867887	1
1576851607	2
2163842685	3
3166841236	4
3989838513	5
476553976	1
1422589456	2
1443330990	3
2593542728	4
3459581512	5
700205011	1
1598163907	2
2362202634	3
3151149759	4
3998148657	5
298442426	1
378465547	2
533497045	3
1166484586	4
3548492814	5
793460107	1
1701507072	2
2106499768	3
2451440920	4
2542504116	5
2409091025	1
2605150742	2
2649090561	3
3058081575	4
3212141582	5
608335997	1
1167325134	2
2146322004	3
2362301779	4
2755322758	5
249353134	1
659334179	2
765277360	3
2224325021	4
2261308500	5
84310529	1
893309253	2
1136329082	3
3198329198	4
3361348910	5
418731103	1
1768739218	2
2918775692	3
3291796965	4
3573749652	5
599587425	1
1093541516	2
1399521215	3
1967553689	4
2182573282	5
90519654	1
1121514784	2
2236529743	3
2414509566	4
3613507769	5
569246870	1
2299284442	2
2934276789	3
3181218289	4
3720287398	5
318365616	1
414388670	2
487345343	3
1030374421	4
2030363184	5
446993334	1
607934602	2
2098929385	3
2234000927	4
2661980176	5
1443121230	1
1671152529	2
3070150634	3
3107133873	4
3531114967	5
1471903337	1
1880922633	2
2807923213	3
3110942599	4
3384972327	5
797219201	1
1513244668	2
1825224185	3
3555233226	4
3819214449	5
434590257	1
977531234	2
2573542244	3
2766561863	4
2815545083	5
902599730	1
1957603381	2
2324597817	3
2636578922	4
3439579560	5
700520105	1
1435512276	2
1889488401	3
3736455517	4
165164147	1
3285144644	2
3394197757	3
3426141110	4
3966210100	5
595278742	1
616022020	2
636757070	3
1047318063	4
1898321830	5
467282016	1
1960329912	2
2127271295	3
2231294476	4
2893318585	5
1468048112	1
1630029447	2
2651046373	3
2848039475	4
3825064761	5
1172955042	1
2287010242	2
3326008678	3
2172186573	1
2245169828	2
2580189412	3
2664132648	4
3906169132	5
1452854182	1
1735795392	2
2517835979	3
3476836268	4
146236946	1
1240166845	2
1585188138	3
2556186978	4
2801208213	5
202489159	1
1241489449	2
3140456747	3
3640439471	4
228151569	1
877090691	2
1509120016	3
1953097878	4
3733109005	5
16695386	1
186675098	2
1963672663	3
2585701706	4
3891658051	5
33464449	1
404484051	2
591478832	3
648463753	4
680486951	5
480057052	1
845048243	2
1069987772	3
1309009273	4
1333032570	5
955050912	1
1026032660	2
3285101534	3
3505054620	4
3807035847	5
18660319	1
95643617	2
466661537	3
1685650286	4
2406587902	5
781139552	1
1836133233	2
2977130392	3
3709166106	4
3850107549	5
764539437	1
905609470	2
