Channel A: 
Mode: 2
N1/T1: 1.08 ms
Channel B: 
Mode: 1
N2/T2: 1.08 ms
tau (ms)	g2 Values
-3.999888161	0.0
-3.983888161	0.0
-3.967888161	0.0
-3.951888161	0.0
-3.935888161	0.0
-3.919888161	0.0
-3.903888161	0.0
-3.887888161	0.0
-3.8718881609999998	0.0
-3.8558881609999998	0.0
-3.8398881609999997	0.0
-3.8238881609999997	0.0
-3.8078881609999997	0.0
-3.7918881609999997	0.0
-3.7758881609999997	0.0
-3.7598881609999997	0.0
-3.7438881609999997	0.0
-3.7278881609999996	0.0
-3.7118881609999996	0.0
-3.6958881609999996	0.0
-3.6798881609999996	0.0
-3.6638881609999996	0.0
-3.6478881609999996	0.0
-3.6318881609999996	0.0
-3.6158881609999995	0.0
-3.5998881609999995	0.0
-3.5838881609999995	0.0
-3.5678881609999995	0.0
-3.5518881609999995	0.0
-3.5358881609999995	0.0
-3.5198881609999995	0.0
-3.5038881609999994	0.0
-3.4878881609999994	0.0
-3.4718881609999994	0.0
-3.4558881609999994	0.0
-3.4398881609999994	0.0
-3.4238881609999994	0.0
-3.4078881609999994	0.0
-3.3918881609999993	0.0
-3.3758881609999993	0.0
-3.3598881609999993	0.0
-3.3438881609999993	0.0
-3.3278881609999993	0.0
-3.3118881609999993	0.0
-3.2958881609999993	0.0
-3.2798881609999992	0.0
-3.2638881609999992	0.0
-3.247888160999999	0.0
-3.231888160999999	0.0
-3.215888160999999	0.0
-3.199888160999999	0.0
-3.183888160999999	0.0
-3.167888160999999	0.0
-3.151888160999999	0.0
-3.135888160999999	0.0
-3.119888160999999	0.0
-3.103888160999999	0.0
-3.087888160999999	0.0
-3.071888160999999	0.0
-3.055888160999999	0.0
-3.039888160999999	0.0
-3.023888160999999	0.0
-3.007888160999999	0.0
-2.991888160999999	0.0
-2.975888160999999	0.0
-2.959888160999999	0.0
-2.943888160999999	0.0
-2.927888160999999	0.0
-2.911888160999999	0.0
-2.895888160999999	0.0
-2.879888160999999	0.0
-2.863888160999999	0.0
-2.847888160999999	0.0
-2.831888160999999	0.0
-2.815888160999999	0.0
-2.799888160999999	0.0
-2.783888160999999	0.0
-2.767888160999999	0.0
-2.751888160999999	0.0
-2.7358881609999988	0.0
-2.7198881609999987	0.0
-2.7038881609999987	0.0
-2.6878881609999987	0.0
-2.6718881609999987	0.0
-2.6558881609999987	0.0
-2.6398881609999987	0.0
-2.6238881609999987	0.0
-2.6078881609999987	0.0
-2.5918881609999986	0.0
-2.5758881609999986	0.0
-2.5598881609999986	0.0
-2.5438881609999986	0.0
-2.5278881609999986	0.0
-2.5118881609999986	0.0
-2.4958881609999986	0.0
-2.4798881609999985	0.0
-2.4638881609999985	0.0
-2.4478881609999985	0.0
-2.4318881609999985	0.0
-2.4158881609999985	0.0
-2.3998881609999985	0.0
-2.3838881609999985	0.0
-2.3678881609999984	0.0
-2.3518881609999984	0.0
-2.3358881609999984	0.0
-2.3198881609999984	0.0
-2.3038881609999984	0.0
-2.2878881609999984	0.0
-2.2718881609999984	0.0
-2.2558881609999983	0.0
-2.2398881609999983	0.0
-2.2238881609999983	0.0
-2.2078881609999983	0.0
-2.1918881609999983	0.0
-2.1758881609999983	0.0
-2.1598881609999983	0.0
-2.1438881609999982	0.0
-2.1278881609999982	0.0
-2.111888160999998	0.0
-2.095888160999998	0.0
-2.079888160999998	0.0
-2.063888160999998	0.0
-2.047888160999998	0.0
-2.031888160999998	0.0
-2.015888160999998	0.0
-1.999888160999998	0.0
-1.983888160999998	0.0
-1.967888160999998	0.0
-1.951888160999998	0.0
-1.935888160999998	0.0
-1.919888160999998	0.0
-1.903888160999998	0.0
-1.887888160999998	0.0
-1.871888160999998	0.0
-1.855888160999998	0.0
-1.839888160999998	0.0
-1.823888160999998	0.0
-1.807888160999998	0.0
-1.791888160999998	0.0
-1.775888160999998	0.0
-1.759888160999998	0.0
-1.7438881609999979	0.0
-1.7278881609999979	0.0
-1.7118881609999979	0.0
-1.6958881609999978	0.0
-1.6798881609999978	0.0
-1.6638881609999978	0.0
-1.6478881609999978	0.0
-1.6318881609999978	0.0
-1.6158881609999978	0.0
-1.5998881609999978	0.0
-1.5838881609999977	0.0
-1.5678881609999977	0.0
-1.5518881609999977	0.0
-1.5358881609999977	0.0
-1.5198881609999977	0.0
-1.5038881609999977	0.0
-1.4878881609999977	0.0
-1.4718881609999976	0.0
-1.4558881609999976	0.0
-1.4398881609999976	0.0
